"","confirmation_code","Gender","SES","X1.111","X1.112","Al.IW2.1"
"1193",77068800,2,9,NA,NA,NA
"1197",93140738,1,4,NA,NA,NA
"1198",98360896,2,4,NA,NA,NA
"1199",55009553,1,5,NA,NA,NA
"1200",10660999,2,4,NA,NA,NA
"1201",48115635,2,7,NA,NA,NA
"1202",28832994,1,7,NA,NA,NA
"1204",24989916,2,6,NA,NA,NA
"1205",75940666,1,6,NA,NA,NA
"1206",77535215,1,5,NA,NA,NA
"1207",78358654,2,8,NA,NA,NA
"1208",60197035,2,7,NA,NA,NA
"1209",46411579,2,8,1,NA,NA
"1212",30235113,2,6,NA,1,1
"1218",48649333,2,7,NA,NA,NA
"1223",24030485,2,6,NA,NA,NA
"1227",34592359,2,6,NA,NA,NA
"1229",21380936,2,5,NA,NA,NA
"1230",20056176,2,7,NA,NA,NA
"1234",32881359,1,8,NA,NA,NA
"1235",58554314,2,4,NA,NA,NA
"1237",46562096,2,4,NA,NA,NA
"1239",37965289,1,4,NA,NA,NA
"1241",22213709,1,7,NA,NA,NA
"1242",29347183,1,6,NA,NA,NA
"1243",74474595,1,6,NA,NA,NA
"1244",75954500,2,4,NA,NA,NA
"1247",39149244,2,7,NA,NA,NA
"1250",96826479,1,8,NA,NA,NA
"1251",42838781,2,7,NA,NA,NA
"1252",33501484,1,7,NA,NA,NA
"1253",99629897,1,4,NA,NA,NA
"1254",85928465,2,7,NA,NA,NA
"1255",23009299,1,9,NA,NA,NA
"1259",91316661,2,7,NA,NA,NA
"1261",75634692,1,5,NA,NA,NA
"1263",63415650,1,6,NA,NA,NA
"1266",33689832,1,5,NA,NA,NA
"1267",70548607,2,4,NA,1,2
"1270",26704913,1,7,NA,NA,NA
"1271",31459294,2,8,NA,NA,NA
"1272",22553782,1,7,NA,NA,NA
"1273",17180233,2,7,NA,NA,NA
"1274",17523195,2,5,NA,NA,NA
"1276",74475979,1,8,NA,NA,NA
"1277",60112361,2,2,NA,NA,NA
"1279",67156510,2,4,1,NA,NA
"1280",81314950,2,5,NA,NA,NA
"1283",55454123,2,8,NA,NA,NA
"1285",57728985,1,6,NA,NA,NA
"1286",79594334,1,8,NA,NA,NA
"1287",75159180,1,8,NA,NA,NA
"1288",17663327,2,5,NA,NA,NA
"1290",77807115,2,7,NA,NA,NA
"1291",41258973,2,5,NA,NA,NA
"1293",59252138,2,5,NA,NA,NA
"1296",65029433,1,8,NA,NA,NA
"1297",95219225,2,5,NA,NA,NA
"1300",87261455,1,7,NA,NA,NA
"1301",41700436,1,8,NA,NA,NA
"1302",88259901,1,4,NA,NA,NA
"1303",82714097,1,6,NA,NA,NA
"1304",50336252,1,7,NA,NA,NA
"1305",47248506,2,8,NA,NA,NA
"1306",99490094,2,5,NA,NA,NA
"1307",78486019,1,9,NA,NA,NA
"1308",59997535,2,6,NA,NA,NA
"1310",25622984,2,5,NA,NA,NA
"1311",66105903,2,7,NA,NA,NA
"1312",92047104,1,5,NA,NA,NA
"1314",18599594,2,10,NA,NA,NA
"1316",19672776,2,6,NA,NA,NA
"1320",57012388,2,7,NA,NA,NA
"1321",90730555,1,7,NA,NA,NA
"1324",20111620,2,4,NA,NA,NA
"1325",75463774,1,9,NA,NA,NA
"1326",26598426,1,6,NA,NA,NA
